timestamp,vazao_L_min,pulsos,dc_temp_%,dc_cooler_%
2026-03-15 19:26:11,9.33,14,0,100
2026-03-15 19:26:12,9.33,14,0,100
2026-03-15 19:26:12,9.33,14,0,100
2026-03-15 19:26:12,8.67,13,0,100
2026-03-15 19:26:12,9.33,14,0,100
2026-03-15 19:26:12,9.33,14,0,100
2026-03-15 19:26:13,9.33,14,0,100
2026-03-15 19:26:13,9.33,14,0,100
2026-03-15 19:26:13,9.33,14,0,100
2026-03-15 19:26:13,8.67,13,0,100
2026-03-15 19:26:13,9.33,14,0,100
2026-03-15 19:26:14,9.33,14,0,100
2026-03-15 19:26:14,9.33,14,0,100
2026-03-15 19:26:14,9.33,14,0,100
2026-03-15 19:26:14,9.33,14,0,100
2026-03-15 19:26:14,8.67,13,0,100
2026-03-15 19:26:15,9.33,14,0,100
2026-03-15 19:26:15,9.33,14,0,100
2026-03-15 19:26:15,9.33,14,0,100
2026-03-15 19:26:15,9.33,14,0,100
2026-03-15 19:26:15,8.67,13,0,100
2026-03-15 19:26:16,9.33,14,0,100
2026-03-15 19:26:16,9.33,14,0,100
2026-03-15 19:26:16,9.33,14,0,100
2026-03-15 19:26:16,9.33,14,0,100
2026-03-15 19:26:16,9.33,14,0,100
2026-03-15 19:26:17,9.33,14,0,100
2026-03-15 19:26:17,8.67,13,0,100
2026-03-15 19:26:17,9.33,14,0,100
2026-03-15 19:26:17,9.33,14,0,100
2026-03-15 19:26:17,9.33,14,0,100
2026-03-15 19:26:18,9.33,14,0,100
2026-03-15 19:26:18,9.33,14,0,100
2026-03-15 19:26:18,9.33,14,0,100
2026-03-15 19:26:18,8.67,13,0,100
2026-03-15 19:26:18,9.33,14,0,100
2026-03-15 19:26:19,9.33,14,0,100
2026-03-15 19:26:19,8.67,13,0,100
2026-03-15 19:26:19,9.33,14,0,100
2026-03-15 19:26:19,9.33,14,0,100
2026-03-15 19:26:19,8.67,13,0,100
2026-03-15 19:26:20,9.33,14,0,100
2026-03-15 19:26:20,8.67,13,0,100
2026-03-15 19:26:20,9.33,14,0,100
2026-03-15 19:26:20,8.67,13,0,100
2026-03-15 19:26:20,9.33,14,0,100
2026-03-15 19:26:21,9.33,14,0,100
2026-03-15 19:26:21,8.67,13,0,100
