t_ms,vazao_Lmin,fase
125800,16.6667,DEGRAU
126000,15.3333,DEGRAU
126200,18.0,DEGRAU
126400,14.0,DEGRAU
126600,17.3333,DEGRAU
126800,18.0,DEGRAU
127000,18.6667,DEGRAU
127200,15.3333,DEGRAU
127400,17.3333,DEGRAU
127600,17.3333,DEGRAU
127800,14.6667,DEGRAU
128000,16.6667,DEGRAU
128200,17.3333,DEGRAU
128400,15.3333,DEGRAU
128600,17.3333,DEGRAU
128800,15.3333,DEGRAU
129000,15.3333,DEGRAU
129200,17.3333,DEGRAU
129400,15.3333,DEGRAU
129600,17.3333,DEGRAU
129800,16.0,DEGRAU
130000,18.0,DEGRAU
130200,17.3333,DEGRAU
130400,16.6667,DEGRAU
130600,16.0,DEGRAU
130800,16.6667,DEGRAU
131000,17.3333,DEGRAU
131200,18.0,DEGRAU
131400,16.0,DEGRAU
131600,19.3333,DEGRAU
131800,14.6667,DEGRAU
132000,16.0,DEGRAU
132200,17.3333,DEGRAU
132400,18.6667,DEGRAU
132600,14.6667,DEGRAU
132800,14.0,DEGRAU
133000,17.3333,DEGRAU
133200,16.6667,DEGRAU
133400,16.0,DEGRAU
133600,18.0,DEGRAU
133800,16.6667,DEGRAU
134000,16.0,DEGRAU
134200,16.6667,DEGRAU
134400,14.0,DEGRAU
134600,16.0,DEGRAU
134800,16.6667,DEGRAU
135000,16.6667,DEGRAU
135200,19.3333,DEGRAU
135400,17.3333,DEGRAU
135600,18.0,DEGRAU
135800,16.6667,DEGRAU
136000,17.3333,DEGRAU
136200,17.3333,DEGRAU
136400,19.3333,DEGRAU
136600,17.3333,DEGRAU
136800,18.0,DEGRAU
137000,16.0,DEGRAU
137200,18.6667,DEGRAU
137400,17.3333,DEGRAU
137600,15.3333,DEGRAU
137800,16.0,DEGRAU
138000,17.3333,DEGRAU
138200,16.0,DEGRAU
138400,17.3333,DEGRAU
138600,18.6667,DEGRAU
138800,18.6667,DEGRAU
139000,15.3333,DEGRAU
139200,17.3333,DEGRAU
139400,18.0,DEGRAU
139600,14.6667,DEGRAU
139800,14.6667,DEGRAU
140000,17.3333,DEGRAU
140200,17.3333,DEGRAU
140400,14.6667,DEGRAU
140600,18.6667,DEGRAU
140800,16.6667,DEGRAU
141000,16.6667,DEGRAU
141200,16.6667,DEGRAU
141400,19.3333,DEGRAU
141600,17.3333,DEGRAU
141800,17.3333,DEGRAU
142000,18.0,DEGRAU
142200,18.0,DEGRAU
142400,19.3333,DEGRAU
142600,14.6667,DEGRAU
142800,15.3333,DEGRAU
143000,17.3333,DEGRAU
143200,16.0,DEGRAU
143400,16.6667,DEGRAU
143600,15.3333,DEGRAU
143800,17.3333,DEGRAU
144000,17.3333,DEGRAU
144200,15.3333,DEGRAU
144400,18.6667,DEGRAU
144600,17.3333,DEGRAU
144800,16.0,DEGRAU
145000,15.3333,DEGRAU
145200,16.6667,DEGRAU
145400,18.6667,DEGRAU
145600,17.3333,DEGRAU
145800,14.6667,DEGRAU
146000,17.3333,DEGRAU
146200,16.6667,DEGRAU
146400,16.6667,DEGRAU
146600,16.0,DEGRAU
146800,15.3333,DEGRAU
147000,19.3333,DEGRAU
147200,15.3333,DEGRAU
147400,17.3333,DEGRAU
147600,16.0,DEGRAU
147800,16.0,DEGRAU
148000,18.6667,DEGRAU
148200,16.6667,DEGRAU
148400,17.3333,DEGRAU
148600,14.0,DEGRAU
148800,16.6667,DEGRAU
149000,16.0,DEGRAU
149200,16.6667,DEGRAU
149400,14.0,DEGRAU
149600,16.6667,DEGRAU
149800,14.0,DEGRAU
150000,18.6667,DEGRAU
150200,16.0,DEGRAU
150400,15.3333,DEGRAU
