timestamp,temperatura_C,dc_temp_%,dc_cooler_%
2026-03-15 18:59:06,65.8,100,0
2026-03-15 18:59:08,66.0,100,0
2026-03-15 18:59:10,66.0,100,0
2026-03-15 18:59:12,65.95,100,0
2026-03-15 18:59:14,65.95,100,0
2026-03-15 18:59:16,66.46,100,0
2026-03-15 18:59:18,66.46,100,0
2026-03-15 18:59:20,66.25,100,0
2026-03-15 18:59:22,66.1,100,0
2026-03-15 18:59:24,66.41,100,0
2026-03-15 18:59:26,66.05,100,0
2026-03-15 18:59:28,66.05,100,0
2026-03-15 18:59:30,66.2,100,0
2026-03-15 18:59:32,66.51,100,0
2026-03-15 18:59:34,66.0,100,0
2026-03-15 18:59:36,66.05,100,0
2026-03-15 18:59:38,66.15,100,0
2026-03-15 18:59:40,66.46,100,0
2026-03-15 18:59:42,66.41,100,0
2026-03-15 18:59:44,66.41,100,0
2026-03-15 18:59:46,66.41,100,0
2026-03-15 18:59:48,66.25,100,0
2026-03-15 18:59:50,66.41,100,0
2026-03-15 18:59:52,66.41,100,0
2026-03-15 18:59:54,66.46,100,0
2026-03-15 18:59:56,66.72,100,0
2026-03-15 18:59:58,66.2,100,0
2026-03-15 19:00:00,66.67,100,0
2026-03-15 19:00:02,66.41,100,0
2026-03-15 19:00:04,66.46,100,0
2026-03-15 19:00:06,66.51,100,0
2026-03-15 19:00:08,66.77,100,0
2026-03-15 19:00:10,66.72,100,0
2026-03-15 19:00:12,66.62,100,0
2026-03-15 19:00:14,66.46,100,0
2026-03-15 19:00:16,66.62,100,0
2026-03-15 19:00:18,66.72,100,0
2026-03-15 19:00:20,66.67,100,0
2026-03-15 19:00:22,66.72,100,0
2026-03-15 19:00:24,66.67,100,0
2026-03-15 19:00:26,67.08,100,0
2026-03-15 19:00:28,67.03,100,0
2026-03-15 19:00:30,66.82,100,0
2026-03-15 19:00:32,66.82,100,0
2026-03-15 19:00:34,66.72,100,0
2026-03-15 19:00:36,66.82,100,0
2026-03-15 19:00:38,66.67,100,0
2026-03-15 19:00:40,66.46,100,0
2026-03-15 19:00:42,66.2,100,0
2026-03-15 19:00:44,66.41,100,0
2026-03-15 19:00:46,66.15,100,0
2026-03-15 19:00:48,66.25,100,0
2026-03-15 19:00:50,66.15,100,0
2026-03-15 19:00:52,66.2,100,0
2026-03-15 19:00:54,66.67,100,0
2026-03-15 19:00:56,66.25,100,0
2026-03-15 19:00:58,66.31,100,0
2026-03-15 19:01:00,66.15,100,0
2026-03-15 19:01:02,66.0,100,0
2026-03-15 19:01:04,66.1,100,0
2026-03-15 19:01:06,66.0,100,0
2026-03-15 19:01:08,65.95,100,0
2026-03-15 19:01:10,66.2,100,0
2026-03-15 19:01:12,66.15,100,0
2026-03-15 19:01:14,66.51,100,0
2026-03-15 19:01:16,66.15,100,0
2026-03-15 19:01:18,66.25,100,0
2026-03-15 19:01:20,66.41,100,0
2026-03-15 19:01:22,66.41,100,0
2026-03-15 19:01:24,66.2,100,0
2026-03-15 19:01:26,66.41,100,0
2026-03-15 19:01:28,66.31,100,0
2026-03-15 19:01:30,66.25,100,0
2026-03-15 19:01:32,66.05,100,0
2026-03-15 19:01:34,66.1,100,0
2026-03-15 19:01:36,66.25,100,0
2026-03-15 19:01:38,66.2,100,0
2026-03-15 19:01:40,66.41,100,0
2026-03-15 19:01:42,66.2,100,0
2026-03-15 19:01:44,66.41,100,0
2026-03-15 19:01:46,66.51,100,0
2026-03-15 19:01:48,66.41,100,0
2026-03-15 19:01:50,66.51,100,0
2026-03-15 19:01:52,66.67,100,0
2026-03-15 19:01:54,66.41,100,0
2026-03-15 19:01:56,66.41,100,0
2026-03-15 19:01:58,66.46,100,0
2026-03-15 19:02:00,66.41,100,0
2026-03-15 19:02:02,66.41,100,0
2026-03-15 19:02:04,66.41,100,0
2026-03-15 19:02:06,66.67,100,0
2026-03-15 19:02:08,66.31,100,0
2026-03-15 19:02:10,66.62,100,0
2026-03-15 19:02:12,66.51,100,0
2026-03-15 19:02:14,66.2,100,0
2026-03-15 19:02:16,66.51,100,0
2026-03-15 19:02:18,66.25,100,0
2026-03-15 19:02:20,66.36,100,0
2026-03-15 19:02:22,66.15,100,0
2026-03-15 19:02:24,66.67,100,0
2026-03-15 19:02:26,66.62,100,0
2026-03-15 19:02:28,66.56,100,0
2026-03-15 19:02:30,66.51,100,0
2026-03-15 19:02:32,66.41,100,0
2026-03-15 19:02:34,66.62,100,0
2026-03-15 19:02:36,66.31,100,0
2026-03-15 19:02:38,66.41,100,0
2026-03-15 19:02:40,66.46,100,0
2026-03-15 19:02:42,66.31,100,0
2026-03-15 19:02:44,66.51,100,0
2026-03-15 19:02:46,66.46,100,0
2026-03-15 19:02:48,66.67,100,0
2026-03-15 19:02:50,66.41,100,0
2026-03-15 19:02:52,66.62,100,0
2026-03-15 19:02:54,66.62,100,0
2026-03-15 19:02:56,66.62,100,0
2026-03-15 19:02:58,66.67,100,0
2026-03-15 19:03:00,66.88,100,0
2026-03-15 19:03:02,66.77,100,0
2026-03-15 19:03:04,66.62,100,0
2026-03-15 19:03:06,66.51,100,0
2026-03-15 19:03:08,66.62,100,0
2026-03-15 19:03:10,66.62,100,0
2026-03-15 19:03:12,66.41,100,0
2026-03-15 19:03:14,66.62,100,0
2026-03-15 19:03:16,66.62,100,0
2026-03-15 19:03:18,66.56,100,0
2026-03-15 19:03:20,66.72,100,0
2026-03-15 19:03:22,66.56,100,0
2026-03-15 19:03:24,66.56,100,0
2026-03-15 19:03:26,66.62,100,0
2026-03-15 19:03:28,66.77,100,0
2026-03-15 19:03:30,66.88,100,0
2026-03-15 19:03:32,66.88,100,0
2026-03-15 19:03:34,66.72,100,0
2026-03-15 19:03:36,66.72,100,0
2026-03-15 19:03:38,66.62,100,0
2026-03-15 19:03:40,66.72,100,0
2026-03-15 19:03:42,66.56,100,0
2026-03-15 19:03:44,66.72,100,0
2026-03-15 19:03:46,66.77,100,0
2026-03-15 19:03:48,66.82,100,0
2026-03-15 19:03:50,66.72,100,0
2026-03-15 19:03:52,66.77,100,0
2026-03-15 19:03:54,66.72,100,0
2026-03-15 19:03:56,66.77,100,0
2026-03-15 19:03:58,67.03,100,0
2026-03-15 19:04:00,66.93,100,0
2026-03-15 19:04:02,66.82,100,0
2026-03-15 19:04:04,67.03,100,0
2026-03-15 19:04:06,66.88,100,0
2026-03-15 19:04:08,67.03,100,0
2026-03-15 19:04:10,67.08,100,0
2026-03-15 19:04:12,67.08,100,0
2026-03-15 19:04:14,66.82,100,0
2026-03-15 19:04:16,66.93,100,0
2026-03-15 19:04:18,66.72,100,0
2026-03-15 19:04:20,66.88,100,0
2026-03-15 19:04:22,66.88,100,0
2026-03-15 19:04:24,66.82,100,0
2026-03-15 19:04:26,66.72,100,0
2026-03-15 19:04:28,66.82,100,0
2026-03-15 19:04:30,66.62,100,0
2026-03-15 19:04:32,66.67,100,0
2026-03-15 19:04:34,66.72,100,0
2026-03-15 19:04:36,66.51,100,0
2026-03-15 19:04:38,66.82,100,0
2026-03-15 19:04:40,66.72,100,0
2026-03-15 19:04:42,66.67,100,0
2026-03-15 19:04:44,66.62,100,0
2026-03-15 19:04:46,66.62,100,0
2026-03-15 19:04:48,66.82,100,0
2026-03-15 19:04:50,66.56,100,0
2026-03-15 19:04:52,66.67,100,0
2026-03-15 19:04:54,66.67,100,0
2026-03-15 19:04:56,66.67,100,0
2026-03-15 19:04:58,66.51,100,0
2026-03-15 19:05:00,66.67,100,0
2026-03-15 19:05:02,66.62,100,0
2026-03-15 19:05:04,66.62,100,0
2026-03-15 19:05:06,66.62,100,0
2026-03-15 19:05:08,66.77,100,0
2026-03-15 19:05:10,66.88,100,0
2026-03-15 19:05:12,66.88,100,0
2026-03-15 19:05:14,66.56,100,0
2026-03-15 19:05:16,66.88,100,0
2026-03-15 19:05:18,66.77,100,0
2026-03-15 19:05:20,66.77,100,0
2026-03-15 19:05:22,66.56,100,0
2026-03-15 19:05:24,66.46,100,0
2026-03-15 19:05:26,66.72,100,0
2026-03-15 19:05:28,66.93,100,0
2026-03-15 19:05:30,66.93,100,0
2026-03-15 19:05:32,66.93,100,0
2026-03-15 19:05:34,66.67,100,0
2026-03-15 19:05:36,66.77,100,0
2026-03-15 19:05:38,66.72,100,0
2026-03-15 19:05:40,66.88,100,0
2026-03-15 19:05:42,67.14,100,0
2026-03-15 19:05:44,67.08,100,0
2026-03-15 19:05:46,67.08,100,0
2026-03-15 19:05:48,67.03,100,0
2026-03-15 19:05:50,66.93,100,0
2026-03-15 19:05:52,66.82,100,0
2026-03-15 19:05:54,66.72,100,0
2026-03-15 19:05:56,66.88,100,0
2026-03-15 19:05:58,66.72,100,0
2026-03-15 19:06:00,66.77,100,0
2026-03-15 19:06:02,66.98,100,0
2026-03-15 19:06:04,66.98,100,0
2026-03-15 19:06:06,66.82,100,0
2026-03-15 19:06:08,66.82,100,0
2026-03-15 19:06:10,66.82,100,0
2026-03-15 19:06:12,66.93,100,0
2026-03-15 19:06:14,66.93,100,0
2026-03-15 19:06:16,67.08,100,0
2026-03-15 19:06:18,66.98,100,0
2026-03-15 19:06:20,66.98,100,0
2026-03-15 19:06:22,67.24,100,0
2026-03-15 19:06:24,67.03,100,0
2026-03-15 19:06:26,67.03,100,0
2026-03-15 19:06:28,66.82,100,0
2026-03-15 19:06:30,67.24,100,0
2026-03-15 19:06:32,66.88,100,0
2026-03-15 19:06:34,66.93,100,0
2026-03-15 19:06:36,67.08,100,0
2026-03-15 19:06:38,66.88,100,0
2026-03-15 19:06:40,67.19,100,0
2026-03-15 19:06:42,67.03,100,0
2026-03-15 19:06:44,66.88,100,0
2026-03-15 19:06:46,66.88,100,0
2026-03-15 19:06:48,66.72,100,0
2026-03-15 19:06:50,67.08,100,0
2026-03-15 19:06:52,66.82,100,0
2026-03-15 19:06:54,67.08,100,0
