indice,temperatura_C,vazao_L_min,cooler_%,resistencia
417,39.49,0.0,0,ON
418,39.25,0.0,0,ON
419,39.41,0.0,0,ON
420,39.51,0.0,0,ON
421,39.28,0.0,0,ON
422,39.38,0.0,0,ON
423,39.28,0.0,0,ON
424,39.3,0.0,0,ON
425,39.28,0.0,0,ON
426,39.36,0.0,0,ON
427,39.25,0.0,0,ON
428,39.38,0.0,0,ON
429,39.38,0.0,0,ON
430,39.51,0.0,0,ON
431,39.49,0.0,0,ON
432,39.51,0.0,0,ON
433,39.46,0.0,0,ON
434,39.3,0.0,0,ON
435,39.51,0.0,0,ON
436,39.57,0.0,0,ON
437,39.62,0.0,0,ON
438,39.54,0.0,0,ON
439,39.33,0.0,0,ON
440,39.57,0.0,0,ON
441,39.73,0.0,0,ON
442,39.46,0.0,0,ON
443,39.78,0.0,0,ON
444,39.62,0.0,0,ON
445,39.75,0.0,0,ON
446,39.73,0.0,0,ON
447,39.7,0.0,0,ON
448,39.83,0.0,0,ON
449,39.86,0.0,0,ON
450,39.83,0.0,0,ON
451,39.86,0.0,0,ON
452,39.86,0.0,0,ON
453,40.21,0.0,0,ON
454,40.1,0.0,0,ON
455,39.99,0.0,0,ON
456,40.07,0.0,0,ON
457,40.1,0.0,0,ON
458,40.16,0.0,0,ON
459,40.16,0.0,0,ON
460,40.29,0.0,0,ON
461,40.24,0.0,0,ON
462,40.42,0.0,0,ON
463,40.53,0.0,0,ON
464,40.72,0.0,0,ON
465,40.48,0.0,0,ON
466,40.59,0.0,0,ON
467,40.61,0.0,0,ON
468,40.48,0.0,0,ON
469,40.72,0.0,0,ON
470,40.75,0.0,0,ON
471,40.72,0.0,0,ON
472,40.8,0.0,0,ON
473,40.97,0.0,0,ON
474,40.97,0.0,0,ON
475,40.99,0.0,0,ON
476,41.16,0.0,0,ON
477,41.08,0.0,0,ON
478,41.21,0.0,0,ON
479,41.3,0.0,0,ON
480,41.41,0.0,0,ON
481,41.46,0.0,0,ON
482,41.52,0.0,0,ON
483,41.52,0.0,0,ON
484,41.57,0.0,0,ON
485,41.6,0.0,0,ON
486,41.63,0.0,0,ON
487,41.76,0.0,0,ON
488,41.82,0.0,0,ON
489,41.85,0.0,0,ON
490,42.04,0.0,0,ON
491,42.04,0.0,0,ON
492,42.1,0.0,0,ON
493,42.04,0.0,0,ON
494,42.01,0.0,0,ON
495,42.41,0.0,0,ON
496,42.24,0.0,0,ON
497,42.24,0.0,0,ON
498,42.41,0.0,0,ON
499,42.24,0.0,0,ON
500,42.49,0.0,0,ON
501,42.57,0.0,0,ON
502,42.49,0.0,0,ON
503,42.66,0.0,0,ON
504,42.66,0.0,0,ON
505,42.94,0.0,0,ON
506,42.94,0.0,0,ON
507,42.77,0.0,0,ON
508,42.91,0.0,0,ON
509,42.91,0.0,0,ON
510,42.97,0.0,0,ON
511,43.17,0.0,0,ON
512,43.28,0.0,0,ON
513,43.25,0.0,0,ON
514,43.4,0.0,0,ON
515,43.4,0.0,0,ON
516,43.43,0.0,0,ON
517,43.48,0.0,0,ON
518,43.63,0.0,0,ON
519,43.83,0.0,0,ON
520,43.8,0.0,0,ON
521,43.77,0.0,0,ON
522,43.89,0.0,0,ON
523,43.89,0.0,0,ON
524,43.94,0.0,0,ON
525,43.89,0.0,0,ON
526,44.18,0.0,0,ON
